ForestName plotid dbh stump SpeciesCode
255 Kibale 3 5.6 0 BliUni
256 Kibale 3 8.5 0 MilExe
257 Kibale 3 4 0 ManBut
258 Kibale 3 4.4 0 ManBut
259 Kibale 3 4.2 0 ManBut
260 Kibale 3 3.7 0 ManBut
261 Kibale 3 31 0 MaeEmi
262 Kibale 3 8.1 0 MyrArb
263 Kibale 3 12.2 0 MyrArb
264 Kibale 3 5.1 0 PseMic
265 Kibale 3 5.5 0 ZanGol
266 Kibale 4 9.6 0 BarAcu
267 Kibale 4 3.7 0 BriMic
268 Kibale 4 21.3 0 EntAng
269 Kibale 4 4.1 0 ManBut
270 Kibale 4 9.7 0 ManBut
271 Kibale 4 7 0 ManBut
272 Kibale 4 8.1 0 ManBut
273 Kibale 4 3.7 0 SpoPre
274 Kibale 5 10.8 0 MilExe
275 Kibale 5 11.5 0 ManBut
276 Kibale 5 40.2 0 MaeEmi
277 Kibale 5 9.1 0 SpoPre
278 Kibale 5 11 0 TabHol
279 Kibale 5 7.7 0 TabHol
280 Kibale 5 8.1 0 ZanGol
281 Kibale 5 4.6 0 ZanLep
282 Kibale 6 8.9 0 ErySua
283 Kibale 6 5.8 0 ErySua
284 Kibale 6 29 0 MilExe
285 Kibale 6 6.3 0 ManBut
286 Kibale 6 3.7 0 MusCer
287 Kibale 6 6.6 0 PouAlt
288 Kibale 6 5.4 0 TetDid
289 Kibale 7 10.6 0 AntTox
290 Kibale 7 7.6 0 ChaAri
291 Kibale 7 4.4 0 HarMad
292 Kibale 7 4.1 0 MacMon
293 Kibale 7 5.3 0 ManBut
294 Kibale 7 7.7 0 ManBut
295 Kibale 7 7.8 0 OxySpe
296 Kibale 7 3.8 0 PolFul
297 Kibale 7 10.2 0 TriMad
298 Kibale 7 10.6 0 TriMad
299 Kibale 7 9 0 TriMad
300 Kibale 8 7.6 0 BarAcu
301 Kibale 8 4.1 0 ManBut
302 Kibale 8 55 0 MaeEmi
303 Kibale 8 3.7 0 MyrHol
304 Kibale 8 3.7 0 OxyUga
305 Kibale 8 7 0 ZanGol
306 Kibale 9 5.9 0 AntTox
307 Kibale 9 10.4 0 DicArb
308 Kibale 9 5 0 DicArb
