Albizia grandibracteata	Albizia gummifera	Alchornea cordifolia	Alstonia boonei	Antiaris toxicaria	Aphania senegalensis	Bilghia unijugata	Broussonetia papyrifera	Canarium schweinfurthii	Celtis durandii	Celtis mildbreadii	Celtis wightii	Chrysophyllum albidum	Cordia africana	Croton macrophyllus	Croton macrostachyus	Croton megalocarpus	Desplatsia mildbraedii	Diospyros abyssinica	Drypetes gerrardii	Entandrophragma cylindricum	Entandrophragma utile	Euclea divinorum	Euphorbia teke	Ficus asperifolia	Ficus exesparata	Ficus mucuso	Ficus sur	Funtumia elastica	Greenwayodendron suaveolens	Kigelia africana	Landolphia owariensis	Lovoa trichilioides	Macaranga angolensis	Macaranga monondra	Maesopsis eminii	Manilkara dawei	Margaritaria discoidea	Markhamia lutea	Milicia excelsa	Myrianthus holstii	Oncoba spinosa	Pachystela brevipes	Piptadeniastrum africanum	Pristimera andongensis	Spathodea campanulata	Tabernaemontana holstii	Teclea nobilis	Trichilia martineaui	Zanha golungensis
32	0	3	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
33	0	6	0	0	1	1	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
36	0	2	0	0	0	0	1	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	0	1	0	1	0	0	0	0	0	0	5	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	1	0	0	3	2	0	1	0	0	5	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
