Albizia grandibracteata	Albizia gummifera	Albizia odoratissima	Albizia zygia	Alchornea cordifolia	Allophyllus dummeri	Allophyllus ferrugineus	Alstonia boonei	Antiaris toxicaria	Aphania senegalensis	Ardisia stuadtii	Bilghia unijugata	Broussonetia papyrifera	Carapa procera	Celtis africana	Celtis durandii	Celtis mildbreadii	Celtis wightii	Citropsis articulata	Claoxylon hexandrum	Clausena anisata	Coffea eugenioides	Coffea robusta	Connarus longistipitatus	Cordia africana	Desplatsia mildbraedii	Diospyros abyssinica	Dovyalis macrocalyx	Drypetes sp	Drypetes ugandensis	Entandrophragma cylindricum	Entandrophragma utile	Euphorbia teke	Ficalhoa laurifolia	Ficus asperifolia	Ficus exesparata	Ficus sur	Funtumia elastica	Greenwayodendron suaveolens	Harungana madagascariensis	Khaya anthotheca	Kigelia africana	Kleinhovia hospitata	Landolphia owariensis	Leptonychia mildbraedii	Macaranga angolensis	Manilkara butugi	Manilkara dawei	Markhamia lutea	Millettia psilopetala	Monodora angolensis	Myrianthus holstii	Ochna membranacea	Oncoba spinosa	Oxyanthus speciosus	Pachystela brevipes	Pachystela msolo	Piptadeniastrum africanum	Polyscias fulva	Pristimera andongensis	Psydrax parviflora	Psydrax schimperiana	Strombosia scheffleri	Strychnos mitis	Tabernaemontana holstii	Tapura fischeri	Teclea nobilis	Trichilia prieureanea	Acalypha neptunica	Acalypha psilostanchya	Argomuellera macrophylla	Chaetacme aristata	Erythrococca trichogyne	Lindackeria bukobensis	Lindackeria schweinfurthii	Nuxia congesta	Ouratea densiflora	Paullina pinnata	Pyrenacantha sylvestris	Solanum mauritianum	Tetracera potatoria	Venornia amygdalina
31	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0.2	0	0	0	2.8	0	1.6	0	0	0	0	0	0	0	0	0	0	0
32	0.8	0	0	0	0	0	0.2	0	0	0	0	0	0	0.2	0	0	0.2	0	0	0	0.4	0	0.8	0	0	0	0.2	0	0	0	0	0	0	0	0.2	0	0	0.6	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0.4	0	11	0	0.6	0	0	0	0.2	0	0	0	0	0	0	0
33	0.166666666666667	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.2	0	0.2	0	0	0	0	0	0	0.2	0	0	0	0	7	0	0.2	0	0	0	0.4	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1666666666667	0	4.33333333333333	0	0.166666666666667	0	0	0	0	0	0	0	0	0
37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	2.2	0	0	0	0	0	0	0	0	0	0	0
39	0.4	0.2	0	0	0	0	0.2	0	0.2	0	0	0	0.4	0.4	0	0	0	0	0	0	0.2	0	0.6	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0.4	0	0	0	0.2	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	3.2	0	1.2	0	0	0	0.2	0	0	0	0	0	0	0
40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
